brand,product_name,price,image_url,product_type,shade,color_hex,description
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413342+sw.jpg,N/A,Monk 2,#F9E6DF,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413359+sw.jpg,N/A,Monk 4,#F2DCC0,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413367+sw.jpg,N/A,Monk 2,#F6DED8,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413375+sw.jpg,N/A,Monk 4,#F2D5C3,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413383+sw.jpg,N/A,Monk 4,#EDCFB3,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413391+sw.jpg,N/A,Monk 4,#F0D5C0,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413409+sw.jpg,N/A,Monk 5,#E9CC9F,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413417+sw.jpg,N/A,Monk 4,#EBD1BA,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413425+sw.jpg,N/A,Monk 4,#EFCAAF,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413433+sw.jpg,N/A,Monk 5,#E7C2AA,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413441+sw.jpg,N/A,Monk 4,#F3CFB4,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413458+sw.jpg,N/A,Monk 5,#EDC5A1,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413466+sw.jpg,N/A,Monk 5,#E8C2A4,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413474+sw.jpg,N/A,Monk 4,#EAC4AB,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413482+sw.jpg,N/A,Monk 5,#E2B190,N/A
FENTY BEAUTY by Rihanna,N/A,N/A,/productimages/sku/s2413490+sw.jpg,N/A,Monk 5,#E6B99A,N/A
