brand,product_name,price,image_url,product_type,shade,color_hex,description,url,image_alt,source
L'Oréal,L'Oréal Lumi Le Glass and Glow Highlighter Stick,12.99,https://media.ulta.com/i/ulta/2632761?w=400&$ProductCardNeutralBGLight$&fmt=auto,Highlighter,Medium,#0ae644,Beautiful l'oréal lumi le glass and glow highlighter stick for a flawless finish,No URL,No alt text,all_makeup_products
L'Oréal,L'Oréal Infallible 24H Fresh Wear Foundation In A Powder,16.99,https://media.ulta.com/i/ulta/2575169?w=400&$ProductCardNeutralBGLight$&fmt=auto,Foundation,Light,#06f43d,Beautiful l'oréal infallible 24h fresh wear foundation in a powder for a flawless finish,No URL,No alt text,all_makeup_products
L'Oréal,L'Oréal Colour Riche Original Satin Lipstick,11.49,https://media.ulta.com/i/ulta/2117568?w=400&$ProductCardNeutralBGLight$&fmt=auto,Lipstick,Light,#123665,Beautiful l'oréal colour riche original satin lipstick for a flawless finish,No URL,No alt text,all_makeup_products
L'Oréal,L'Oréal Infallible Matte Resistance Liquid Lipstick,13.99,https://media.ulta.com/i/ulta/2610775?w=400&$ProductCardNeutralBGLight$&fmt=auto,Lipstick,Light,#e391ac,Beautiful l'oréal infallible matte resistance liquid lipstick for a flawless finish,No URL,No alt text,all_makeup_products
L'Oréal,L'Oréal Infallible Up to 32 Hour Fresh Wear Foundation,16.99,https://media.ulta.com/i/ulta/2538170?w=400&$ProductCardNeutralBGLight$&fmt=auto,Foundation,Light,#1f57f1,Beautiful l'oréal infallible up to 32 hour fresh wear foundation for a flawless finish,No URL,No alt text,all_makeup_products
L'Oréal,L'Oréal Telescopic Carbon Black Mascara,9.09,https://media.ulta.com/i/ulta/2151451?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Deep,#9a98f5,Beautiful l'oréal telescopic carbon black mascara for a flawless finish,No URL,No alt text,all_makeup_products
L'Oréal,L'Oréal Lumi Le Glow Skin Tint,16.99,https://media.ulta.com/i/ulta/2634245?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Light,#fa0f6e,Beautiful l'oréal lumi le glow skin tint for a flawless finish,No URL,No alt text,all_makeup_products
L'Oréal,L'Oréal Telescopic Original Washable Mascara,9.09,https://media.ulta.com/i/ulta/2138215?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#2ec228,Beautiful l'oréal telescopic original washable mascara for a flawless finish,No URL,No alt text,all_makeup_products
L'Oréal,L'Oréal Brow Stylist Definer Waterproof Eyebrow Pencil,10.99,https://media.ulta.com/i/ulta/2295237?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Medium,#69ba08,Beautiful l'oréal brow stylist definer waterproof eyebrow pencil for a flawless finish,No URL,No alt text,all_makeup_products
L'Oréal,L'Oréal Voluminous Original Washable Mascara,7.69,https://media.ulta.com/i/ulta/2063643?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Medium,#1b776e,Beautiful l'oréal voluminous original washable mascara for a flawless finish,No URL,No alt text,all_makeup_products
L'Oréal,L'Oréal Root Cover Up,11.99,https://media.ulta.com/i/ulta/2298932?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Rich,#7163e9,Beautiful l'oréal root cover up for a flawless finish,No URL,No alt text,all_makeup_products
L'Oréal,L'Oréal True Match Lumi Glotion Natural Glow Bronzing Enhancer,16.99,https://media.ulta.com/i/ulta/2520146?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Deep,#e2ca56,Beautiful l'oréal true match lumi glotion natural glow bronzing enhancer for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Seamless Underlash Extension Refill,4.19,https://media.ulta.com/i/ulta/2627081?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Deep,#91eff9,Beautiful seamless underlash extension refill for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,3D Faux Mink Multipack Lashes,12.59,https://media.ulta.com/i/ulta/2590323?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#5740a0,Beautiful 3d faux mink multipack lashes for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Duo Underlash Bond & Seal Adhesive,6.99,https://media.ulta.com/i/ulta/2620640?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Medium,#e9fb15,Beautiful duo underlash bond & seal adhesive for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Natural #110 Black False Eyelashes Multipack,9.09,https://media.ulta.com/i/ulta/2287444?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Medium,#85c29c,Beautiful natural #110 black false eyelashes multipack for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,"Half Naked Lashes, 421",8.39,https://media.ulta.com/i/ulta/2634654?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Light,#b33f8d,"Beautiful half naked lashes, 421 for a flawless finish",No URL,No alt text,all_makeup_products
Ardell,Wispies False Eyelash Multipack,9.09,https://media.ulta.com/i/ulta/2525725?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#0d1948,Beautiful wispies false eyelash multipack for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Naked False Lashes #420 Multipack,9.09,https://media.ulta.com/i/ulta/2576731?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Deep,#a83e87,Beautiful naked false lashes #420 multipack for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Duo Brush-On Adhesive With Vitamins,4.89,https://media.ulta.com/i/ulta/2259800?w=400&$ProductCardNeutralBGLight$&fmt=auto,Makeup,Medium,#915974,Beautiful duo brush-on adhesive with vitamins for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Seamless One Day Underlash Extension Kit – Faux Mink D Curl,11.89,https://media.ulta.com/i/ulta/2627088?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#140b9b,Beautiful seamless one day underlash extension kit – faux mink d curl for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Naked False Lashes #424 Multipack,9.09,https://media.ulta.com/i/ulta/2576732?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Light,#f89e71,Beautiful naked false lashes #424 multipack for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,"Active Lash Multipack Strip Lash, Pump'n",11.19,https://media.ulta.com/i/ulta/2620644?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Medium,#b9d6fb,"Beautiful active lash multipack strip lash, pump'n for a flawless finish",No URL,No alt text,all_makeup_products
Ardell,Naked False Lashes #421 Multipack,9.09,https://media.ulta.com/i/ulta/2576730?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#3a5901,Beautiful naked false lashes #421 multipack for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Seamless Underlash Extension Kit - Wispies,13.29,https://media.ulta.com/i/ulta/2616015?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#3d55de,Beautiful seamless underlash extension kit - wispies for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Naked False Lashes Multipack #425,8.39,https://media.ulta.com/i/ulta/2627085?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#aebef2,Beautiful naked false lashes multipack #425 for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Light As Air Lashes #523 Multipack,12.59,https://media.ulta.com/i/ulta/2606003?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Medium,#bc1f35,Beautiful light as air lashes #523 multipack for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,"Press On Pre-glued Underlash Extensions, Wispies Natural",11.19,https://media.ulta.com/i/ulta/2634738?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Light,#bc84b4,"Beautiful press on pre-glued underlash extensions, wispies natural for a flawless finish",No URL,No alt text,all_makeup_products
Ardell,"Seamless Naked Kit, Underlash Application",13.29,https://media.ulta.com/i/ulta/2620243?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#b6185e,"Beautiful seamless naked kit, underlash application for a flawless finish",No URL,No alt text,all_makeup_products
Ardell,DUO Striplash Adhesive in Clear,4.89,https://media.ulta.com/i/ulta/2063231?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#314964,Beautiful duo striplash adhesive in clear for a flawless finish,No URL,No alt text,all_makeup_products
Ardell,Faux Mink #817 False Eyelash Multipack,12.59,https://media.ulta.com/i/ulta/2538574?w=400&$ProductCardNeutralBGLight$&fmt=auto,Mascara,Rich,#35d358,Beautiful faux mink #817 false eyelash multipack for a flawless finish,No URL,No alt text,all_makeup_products
