Product Name,Price,Product Type,Image URL,brand,gender,baseColour,masterCategory,subCategory
Skinny Fit Suit Pants,$ 25.99,Pants,http://assets.myntassets.com/v1/images/style/properties/Titan-Women-Silver-Watch_b4ef04538840c0020e4829ecc042ead1_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Skinny Fit Suit Pants,$ 25.99,Pants,http://assets.myntassets.com/v1/images/style/properties/Murcia-Women-Blue-Handbag_13cfaff26872c298112a8e7da15c1e1d_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Slim Fit Suit Pants,$ 39.99,Pants,http://assets.myntassets.com/v1/images/style/properties/Pitaraa-Women-Golden-Brass-Bead-Bracelet_179aa06939858b54e8e6c80fe12d94d5_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Skinny Fit Suit Pants,$ 29.99,Pants,http://assets.myntassets.com/v1/images/style/properties/Carlton-London-Women-Black-Gladiator-Sandals_b8f695202ccc1889f65d57b4000a888f_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Slim Fit Linen Jacket,$ 99.00,Jacket,http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-White-Handbag_1440a0abd2ddaf3199965e604831b164_images.jpg,H&M,Unisex,Unknown,Apparel,Jacket
Skinny Fit Single-Breasted Jacket,$ 74.99,Jacket,http://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Maroon-Top_e5cc855ba59e5640817434d45f9c088d_images.jpg,H&M,Unisex,Unknown,Apparel,Jacket
Slim Fit Cotton Twill Pants,$ 24.99,Pants,http://assets.myntassets.com/v1/images/style/properties/SDL-by-Sweet-Dreams-Women-White-Pyjama-Set_debea45adf6bdb5816030e5d05b53d2f_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Slim Fit Cotton Turtleneck Shirt,$ 19.99,Shirt,http://assets.myntassets.com/v1/images/style/properties/Jealous-21-Women-Black-Jeans_6c38590b2ec56b444a760aa56a8ef7e9_images.jpg,H&M,Unisex,Unknown,Apparel,Shirt
Skinny Fit Single-Breasted Jacket,$ 74.99,Jacket,http://assets.myntassets.com/v1/images/style/properties/Sushilas-Women-Printed-Green-Kurta_c9347616597dbcbe6eca805e1677c269_images.jpg,H&M,Unisex,Unknown,Apparel,Jacket
Skinny Fit Suit Pants,$ 39.99,Pants,http://assets.myntassets.com/v1/images/style/properties/Lucera-Women-Silver-Ring_dccb8dafadde1c4759acfb940fcb42e9_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Slim Fit Sweater,$ 29.99,Sweater,http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-Brown-Handbag_5b44f798c0d6b84b00ae5a6316d931af_images.jpg,H&M,Unisex,Unknown,Apparel,Sweater
Slim Fit Shirt,$ 24.99,Shirt,http://assets.myntassets.com/v1/images/style/properties/Catwalk-Women-Brown-Sandals_c094f60d90c695681a6b79cf241777fc_images.jpg,H&M,Unisex,Unknown,Apparel,Shirt
Slim Fit Cotton Twill Pants,$ 24.99,Pants,http://assets.myntassets.com/v1/images/style/properties/ONLY-Women-directoire-blue-Trousers_9ad40a06ae4b8c071f84e12599c1c9b7_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Skinny Fit Single-Breasted Jacket,$ 74.99,Jacket,http://assets.myntassets.com/v1/images/style/properties/Colour-me-Women-Flowers-Deo_bbdd019aace399d86a7f5c4ba11f6881_images.jpg,H&M,Unisex,Unknown,Apparel,Jacket
Skinny Fit Suit Pants,$ 22.99,Pants,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Dark-Pink-Top_ce0e1c18ffc47444dcb28bb7b78ae13f_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Slim Fit Pants,$ 34.99,Pants,http://assets.myntassets.com/v1/images/style/properties/Red-Rose-Women-Bath-Robe_b47ef24153050e66fce7429a01204ca9_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Slim Fit Suit Pants,$ 39.99,Pants,http://assets.myntassets.com/v1/images/style/properties/Aurelia-Women-Navy-Blue-Kurta_269c51a0aa07f814b0d68df6b37d4113_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Slim Fit Shirt,$ 24.99,Shirt,http://assets.myntassets.com/v1/images/style/properties/Catwalk-Women-Golden-Sandals_5fddd65067f3c7c0224439efc7a99ac8_images.jpg,H&M,Unisex,Unknown,Apparel,Shirt
Slim Fit Pants,$ 34.99,Pants,http://assets.myntassets.com/v1/images/style/properties/Spice-Art-Women-Black-Handbag_2bf4728580599984a2a555db977b9e35_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Slim Fit Cotton Twill Pants,$ 24.99,Pants,http://assets.myntassets.com/assets/images/27421/2015/11/23/11448283185049-Jockey-Women-Blue-Lounge-Pants-3621448283184622-1.jpg,H&M,Unisex,Unknown,Apparel,Pants
Slim Fit Sweater,$ 29.99,Sweater,http://assets.myntassets.com/v1/image/style/properties/45293/Casio-Women-Red-Dial-Watch_1_cc32a942220788a0b74c5708baff1e74.jpg,H&M,Unisex,Unknown,Apparel,Sweater
Muscle Fit Cotton Shirt,$ 19.99,Shirt,http://assets.myntassets.com/v1/images/style/properties/Aneri-Women-Blue-Salwar-Suit_310b83bb9b3c42c1b2a9a0b63e612c78_images.jpg,H&M,Unisex,Unknown,Apparel,Shirt
Slim Fit Suit Pants,$ 28.99,Pants,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Brown-Trousers_a7f66d28a9214c62dc8073fa66146018_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Skinny Fit Suit Pants,$ 28.99,Pants,http://assets.myntassets.com/v1/images/style/properties/Helix-Women-Silver-Dial-Watch_43fa66002d9a709539eb6ff7ed9384ce_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Skinny Fit Single-Breasted Jacket,$ 74.99,Jacket,http://assets.myntassets.com/v1/images/style/properties/French-Connection-Women-Blue-Top_1230fe55a5335d7405f43cb5c43b3c90_images.jpg,H&M,Unisex,Unknown,Apparel,Jacket
Slim Fit Jersey Suit Pants,$ 39.99,Pants,http://assets.myntassets.com/v1/images/style/properties/SDL-by-Sweet-Dreams-Women-Pink---Black-Pyjama-Set_29ef1a45af8f10f5c12737350c74cfc5_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Muscle Fit Band-collar Shirt,$ 19.99,Shirt,http://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Grey-Top_f73ea340974e7cc7cb4db18f7889cec7_images.jpg,H&M,Unisex,Unknown,Apparel,Shirt
Slim Fit Pants,$ 34.99,Pants,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-Green-Girls-Olive-34-Pant_62311570aeebd7385030de554584a065_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Slim Fit Cotton Twill Pants,$ 24.99,Pants,http://assets.myntassets.com/v1/images/style/properties/KIARA-Women-Brown-Handbag_98bb55cffd970f479b59b9e16d0713b6_images.jpg,H&M,Unisex,Unknown,Apparel,Pants
Slim Fit Suit Vest,$ 31.99,Clothing,http://assets.myntassets.com/v1/images/style/properties/Spice-Art-Women-Black-Handbag_2bf4728580599984a2a555db977b9e35_images.jpg,H&M,Unisex,Unknown,Apparel,Clothing
