Product Name,brand,Image URL,Price,mst,desc,hex,product_type,product,imgSrc,price
L'Oréal Lumi Le Glass and Glow Highlighter Stick,L'Oréal,https://media.ulta.com/i/ulta/2632761?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.99,Medium,Beautiful l'oréal lumi le glass and glow highlighter stick for a flawless finish,#0ae644,Highlighter,L'Oréal Lumi Le Glass and Glow Highlighter Stick,https://media.ulta.com/i/ulta/2632761?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.99
L'Oréal Infallible 24H Fresh Wear Foundation In A Powder,L'Oréal,https://media.ulta.com/i/ulta/2575169?w=400&$ProductCardNeutralBGLight$&fmt=auto,16.99,Light,Beautiful l'oréal infallible 24h fresh wear foundation in a powder for a flawless finish,#06f43d,Foundation,L'Oréal Infallible 24H Fresh Wear Foundation In A Powder,https://media.ulta.com/i/ulta/2575169?w=400&$ProductCardNeutralBGLight$&fmt=auto,16.99
L'Oréal Colour Riche Original Satin Lipstick,L'Oréal,https://media.ulta.com/i/ulta/2117568?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.49,Light,Beautiful l'oréal colour riche original satin lipstick for a flawless finish,#123665,Lipstick,L'Oréal Colour Riche Original Satin Lipstick,https://media.ulta.com/i/ulta/2117568?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.49
L'Oréal Infallible Matte Resistance Liquid Lipstick,L'Oréal,https://media.ulta.com/i/ulta/2610775?w=400&$ProductCardNeutralBGLight$&fmt=auto,13.99,Light,Beautiful l'oréal infallible matte resistance liquid lipstick for a flawless finish,#e391ac,Lipstick,L'Oréal Infallible Matte Resistance Liquid Lipstick,https://media.ulta.com/i/ulta/2610775?w=400&$ProductCardNeutralBGLight$&fmt=auto,13.99
L'Oréal Infallible Up to 32 Hour Fresh Wear Foundation,L'Oréal,https://media.ulta.com/i/ulta/2538170?w=400&$ProductCardNeutralBGLight$&fmt=auto,16.99,Light,Beautiful l'oréal infallible up to 32 hour fresh wear foundation for a flawless finish,#1f57f1,Foundation,L'Oréal Infallible Up to 32 Hour Fresh Wear Foundation,https://media.ulta.com/i/ulta/2538170?w=400&$ProductCardNeutralBGLight$&fmt=auto,16.99
L'Oréal Telescopic Carbon Black Mascara,L'Oréal,https://media.ulta.com/i/ulta/2151451?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09,Deep,Beautiful l'oréal telescopic carbon black mascara for a flawless finish,#9a98f5,Mascara,L'Oréal Telescopic Carbon Black Mascara,https://media.ulta.com/i/ulta/2151451?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09
L'Oréal Lumi Le Glow Skin Tint,L'Oréal,https://media.ulta.com/i/ulta/2634245?w=400&$ProductCardNeutralBGLight$&fmt=auto,16.99,Light,Beautiful l'oréal lumi le glow skin tint for a flawless finish,#fa0f6e,Makeup,L'Oréal Lumi Le Glow Skin Tint,https://media.ulta.com/i/ulta/2634245?w=400&$ProductCardNeutralBGLight$&fmt=auto,16.99
L'Oréal Telescopic Original Washable Mascara,L'Oréal,https://media.ulta.com/i/ulta/2138215?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09,Rich,Beautiful l'oréal telescopic original washable mascara for a flawless finish,#2ec228,Mascara,L'Oréal Telescopic Original Washable Mascara,https://media.ulta.com/i/ulta/2138215?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09
L'Oréal Brow Stylist Definer Waterproof Eyebrow Pencil,L'Oréal,https://media.ulta.com/i/ulta/2295237?w=400&$ProductCardNeutralBGLight$&fmt=auto,10.99,Medium,Beautiful l'oréal brow stylist definer waterproof eyebrow pencil for a flawless finish,#69ba08,Makeup,L'Oréal Brow Stylist Definer Waterproof Eyebrow Pencil,https://media.ulta.com/i/ulta/2295237?w=400&$ProductCardNeutralBGLight$&fmt=auto,10.99
L'Oréal Voluminous Original Washable Mascara,L'Oréal,https://media.ulta.com/i/ulta/2063643?w=400&$ProductCardNeutralBGLight$&fmt=auto,7.69,Medium,Beautiful l'oréal voluminous original washable mascara for a flawless finish,#1b776e,Mascara,L'Oréal Voluminous Original Washable Mascara,https://media.ulta.com/i/ulta/2063643?w=400&$ProductCardNeutralBGLight$&fmt=auto,7.69
L'Oréal Root Cover Up,L'Oréal,https://media.ulta.com/i/ulta/2298932?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.99,Rich,Beautiful l'oréal root cover up for a flawless finish,#7163e9,Makeup,L'Oréal Root Cover Up,https://media.ulta.com/i/ulta/2298932?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.99
L'Oréal True Match Lumi Glotion Natural Glow Bronzing Enhancer,L'Oréal,https://media.ulta.com/i/ulta/2520146?w=400&$ProductCardNeutralBGLight$&fmt=auto,16.99,Deep,Beautiful l'oréal true match lumi glotion natural glow bronzing enhancer for a flawless finish,#e2ca56,Makeup,L'Oréal True Match Lumi Glotion Natural Glow Bronzing Enhancer,https://media.ulta.com/i/ulta/2520146?w=400&$ProductCardNeutralBGLight$&fmt=auto,16.99
Seamless Underlash Extension Refill,Ardell,https://media.ulta.com/i/ulta/2627081?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.19,Deep,Beautiful seamless underlash extension refill for a flawless finish,#91eff9,Mascara,Seamless Underlash Extension Refill,https://media.ulta.com/i/ulta/2627081?w=400&$ProductCardNeutralBGLight$&fmt=auto,4.19
3D Faux Mink Multipack Lashes,Ardell,https://media.ulta.com/i/ulta/2590323?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.59,Rich,Beautiful 3d faux mink multipack lashes for a flawless finish,#5740a0,Mascara,3D Faux Mink Multipack Lashes,https://media.ulta.com/i/ulta/2590323?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.59
Duo Underlash Bond & Seal Adhesive,Ardell,https://media.ulta.com/i/ulta/2620640?w=400&$ProductCardNeutralBGLight$&fmt=auto,6.99,Medium,Beautiful duo underlash bond & seal adhesive for a flawless finish,#e9fb15,Mascara,Duo Underlash Bond & Seal Adhesive,https://media.ulta.com/i/ulta/2620640?w=400&$ProductCardNeutralBGLight$&fmt=auto,6.99
Natural #110 Black False Eyelashes Multipack,Ardell,https://media.ulta.com/i/ulta/2287444?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09,Medium,Beautiful natural #110 black false eyelashes multipack for a flawless finish,#85c29c,Mascara,Natural #110 Black False Eyelashes Multipack,https://media.ulta.com/i/ulta/2287444?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.09
