Product Name,Price,Product Type,Image URL
Skinny Fit Suit Pants,$ 25.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/8f/85/8f85540515140c3d2f464ce78d77a9bfe163472b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Skinny Fit Suit Pants,$ 25.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/4e/ea/4eea0d4d208571c3b888fd26e8e1f921cf21d3fa.jpg],origin[dam],category[men_blazerssuits_trousers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Slim Fit Suit Pants,$ 39.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/9a/11/9a113712bb917e853c24d444d7bf6dda63e84f0b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Skinny Fit Suit Pants,$ 29.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/43/18/431885ab9a012851538806c91e99c4b45869b821.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Slim Fit Linen Jacket,$ 99.00,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/5e/96/5e96bc27780b7002c2d97993b4f94bbfde01d610.jpg],origin[dam],category[men_blazerssuits_blazers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Skinny Fit Single-Breasted Jacket,$ 74.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/3d/10/3d106503248abe68a48c5e4401629979bb9c6f77.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Slim Fit Cotton Twill Pants,$ 24.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/cd/d7/cdd7aea4d00fc65196abef349fa469ee23b3d22b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Slim Fit Cotton Turtleneck Shirt,$ 19.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/89/83/898396242549d47ec8c92fa2891cf68d2768b51d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Skinny Fit Single-Breasted Jacket,$ 74.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/52/a2/52a2a4fcef5939d578348722b3e962fd7e72de9c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Skinny Fit Suit Pants,$ 39.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/30/f6/30f6c2484e78b9e4d823fe5a66edaaaa215e7ad9.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Slim Fit Sweater,$ 29.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/2b/2e/2b2e6614657957bfab045b7e011528bc8717d9f9.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Slim Fit Shirt,$ 24.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/ce/b4/ceb46f7bb3c8e3d1e6c8e2736a026802482d7645.jpg],origin[dam],category[men_shirts_longsleeved],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Slim Fit Cotton Twill Pants,$ 24.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/81/f3/81f39c6d8ab4cdef0c9af7b64d0478ddb567bbd2.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Skinny Fit Single-Breasted Jacket,$ 74.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/39/78/3978cc07b97de4029def49a2898ad9a9c82a07a1.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Skinny Fit Suit Pants,$ 22.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/16/aa/16aa0516dca056c2abd17a08b2a608eb68904b93.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Slim Fit Pants,$ 34.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/f0/23/f023dc8de56549f3a1e0725c5503162a57eea134.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Slim Fit Suit Pants,$ 39.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/c7/ff/c7ff2ba7d6eca8119908fcd7daf9066d3a8412dd.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Slim Fit Shirt,$ 24.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/74/88/748812fae326b62a0a574bdde35ecad7954985bb.jpg],origin[dam],category[men_shirts_longsleeved],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Slim Fit Pants,$ 34.99,N/A,"https://lp2.hm.com/hmgoepprod?set=source[/92/54/9254f500b1246e8d1424647a7fdfe5ac0925f68d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
