index,brand,product,url,description,imgSrc,imgAlt,hex,mst
0,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,355N (medium skin with a neutral golden undertone)  selected,https://images.ulta.com/is/image/Ulta/2551437sw?$tn$,355N (medium skin with a neutral golden undertone),#A06F4A,Monk 6
1,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,100N (very fair skin with a neutral undertone),https://images.ulta.com/is/image/Ulta/2551414sw?$50px$,100N (very fair skin with a neutral undertone),#F1E7DB,Monk 2
2,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,110C (very fair skin with a cool undertone),https://images.ulta.com/is/image/Ulta/2551412sw?$50px$,110C (very fair skin with a cool undertone),#F0E7DB,Monk 2
3,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,120W (very fair skin with a warm undertone),https://images.ulta.com/is/image/Ulta/2551419sw?$50px$,120W (very fair skin with a warm undertone),#EFD0AE,Monk 4
4,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,130N (very fair skin with a neutral pink undertone),https://images.ulta.com/is/image/Ulta/2551416sw?$50px$,130N (very fair skin with a neutral pink undertone),#D5C1AA,Monk 5
5,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,140N (fair skin with a neutral peach undertone),https://images.ulta.com/is/image/Ulta/2551415sw?$50px$,140N (fair skin with a neutral peach undertone),#DBC2A9,Monk 5
6,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,150W (fair skin with a warm beige undertone),https://images.ulta.com/is/image/Ulta/2551418sw?$50px$,150W (fair skin with a warm beige undertone),#EFCDA8,Monk 4
7,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,160C (fair skin with a cool golden undertone),https://images.ulta.com/is/image/Ulta/2551417sw?$50px$,160C (fair skin with a cool golden undertone),#DEC5A7,Monk 5
8,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,200W (light skin with a warm undertone),https://images.ulta.com/is/image/Ulta/2551420sw?$50px$,200W (light skin with a warm undertone),#EDCAA1,Monk 5
9,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,210N (light skin with a neutral golden undertone),https://images.ulta.com/is/image/Ulta/2551423sw?$50px$,210N (light skin with a neutral golden undertone),#E8C9AA,Monk 4
10,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,220N (light skin with a neutral peach undertone),https://images.ulta.com/is/image/Ulta/2551421sw?$50px$,220N (light skin with a neutral peach undertone),#D5B596,Monk 5
11,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,230N (light skin with a pink undertone),https://images.ulta.com/is/image/Ulta/2551422sw?$50px$,230N (light skin with a pink undertone),#D5AC87,Monk 5
12,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,240N (light skin with a neutral warm undertone),https://images.ulta.com/is/image/Ulta/2551424sw?$50px$,240N (light skin with a neutral warm undertone),#DCB087,Monk 5
13,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,250C (light skin with a cool golden undertone),https://images.ulta.com/is/image/Ulta/2551428sw?$50px$,250C (light skin with a cool golden undertone),#D5B187,Monk 5
14,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,260N (light skin with a neutral undertone),https://images.ulta.com/is/image/Ulta/2551429sw?$50px$,260N (light skin with a neutral undertone),#D9AD7E,Monk 5
15,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,270C (light to medium skin with a cool golden undertone),https://images.ulta.com/is/image/Ulta/2551432sw?$50px$,270C (light to medium skin with a cool golden undertone),#D4AF7D,Monk 5
16,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,300C (light to medium skin with a cool golden undertone),https://images.ulta.com/is/image/Ulta/2551438sw?$50px$,300C (light to medium skin with a cool golden undertone),#D1AA79,Monk 5
17,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,305N (medium skin with a neutral olive undertone),https://images.ulta.com/is/image/Ulta/2551427sw?$50px$,305N (medium skin with a neutral olive undertone),#D4AB80,Monk 5
18,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,310C (medium skin with a cool olive undertone),https://images.ulta.com/is/image/Ulta/2551597sw?$50px$,310C (medium skin with a cool olive undertone),#CB9F6D,Monk 5
19,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,315N (medium skin with a neutral beige undertone),https://images.ulta.com/is/image/Ulta/2551435sw?$50px$,315N (medium skin with a neutral beige undertone),#B99371,Monk 6
20,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,320N (medium skin with a neutral pink undertone),https://images.ulta.com/is/image/Ulta/2551425sw?$50px$,320N (medium skin with a neutral pink undertone),#B88C6A,Monk 6
21,Anastasia Beverly Hills,Luminous Foundation,https://www.ulta.com/luminous-foundation?productId=pimprod2008586,290C (light to medium skin with a warm golden undertone),https://images.ulta.com/is/image/Ulta/2551434sw?$50px$,290C (light to medium skin with a warm golden undertone),#D2AA72,Monk 5
